epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
0,49,,,,,4.865016937255859
1,99,,,,,4.78439474105835
2,149,,,,,4.573726654052734
2,199,,,,,4.405084133148193
3,249,,,,,4.397995471954346
4,299,,,,,4.255971431732178
5,349,,,,,4.1363654136657715
5,399,,,,,4.017083168029785
6,449,,,,,3.9312100410461426
7,499,,,,,3.7759764194488525
8,549,,,,,3.779794931411743
8,599,,,,,3.608118772506714
9,649,,,,,3.550783157348633
10,670,7.851048469543457,3.4245965480804443,7.311115264892578,3.795375108718872,
